text,cat,topic,cluster,level
seaworld’s profit fell customer staying away water theme park company film claimed mistreated orca whale,ele,SeaWorld,2.0,0
company teach dolphin killer whale trick front large crowd people,ele,SeaWorld,2.0,0
say fewer people going park profit reduced,ele,SeaWorld,2.0,0
seaworld news since documentary film blackfish said seaworld mistreated orca whale – made whale act violently caused death three people,ele,SeaWorld,2.0,0
animal right organization say orca kept tank die younger age wild whale seaworld started national marketing campaign show isn’t true,ele,SeaWorld,2.0,0
seaworld reduced ticket price spent marketing campaign seaworld ceo joel manby said company still find difficult convince people treat whale well,ele,SeaWorld,2.0,0
“we realize much work do” manby said talking company’s reputation said “early feedback marketing campaign positive”,ele,SeaWorld,2.0,0
“we continue fight fact fact side” said,ele,SeaWorld,2.0,0
manby joined company ceo help company recover give presentation idea future company november,ele,SeaWorld,2.0,0
already plan new shark exhibition orlando attraction san antonio allow customer swim dolphin,ele,SeaWorld,2.0,0
company’s financial report august showed profit second quarter dropped million million decrease time number visitor dropped million million,ele,SeaWorld,2.0,0
people ethical treatment animal peta organization seaworld jared goodman peta said “seaworld lot problem animal dying tank ten thousand people want build new orca prison family don’t want buy ticket see orca going insane inside tiny tank seaworld’s profit won’t increase close park build sanctuary coast”,ele,SeaWorld,2.0,0
seaworld’s share worth fell august ”,ele,SeaWorld,2.0,0
taliban sent gunman shoot malala yousafzai october went home bus school wanted silence teenager end campaign girls’ education,ele,Malala,2.0,0
nine month many operation later stood united nation th birthday “they thought bullet would silence u failed” said,ele,Malala,2.0,0
unusual th birthday malala didn’t blow candle cake sat united nation central seat world leader usually sit,ele,Malala,2.0,0
listened quietly ban kimoon un secretarygeneral described “our hero champion” exbritish prime minister un education envoy gordon brown said “the word taliban never wanted hear happy th birthday malala ”,ele,Malala,2.0,0
event named malala day girl mingora pakistan became famous wrote blog bbc urdu service – blog described difficult experience trying get education power taliban,ele,Malala,2.0,0
asked u special representative pakistan richard holbrooke help campaign taliban wanted stop education girl archbishop desmond tutu suggested international children’s peace prize became youngest nobel peace prize nominee history,ele,Malala,2.0,0
got death threat october meeting pakistani taliban leader gunman came kill,ele,Malala,2.0,0
many operation pakistan uk shooting bus life family birmingham england taliban tried stop go school every day “i anyone” said,ele,Malala,2.0,0
doesn’t want “personal revenge taliban terrorist group”,ele,Malala,2.0,0
malala replied violence taliban word bullet “i even hate talib shot even gun hand stood front would shoot him”,ele,Malala,2.0,0
“the extremist afraid book pens” teenager continued “the power education frightens afraid woman power voice woman frightens them”,ele,Malala,2.0,0
talked attack june hospital quetta capital baluchistan killing female teacher khyber pakhtunkhwa “that blasting school every day – afraid change afraid equality bring society” “stand malala” petition asking education million child around world go school got four million signature – million added malala’s speech,ele,Malala,2.0,0
start speech malala said “i don’t know begin speech don’t know people expecting say” worry,ele,Malala,2.0,0
opposition western australia’s shark cull intensified thousand people took beach across continent call state’s premier end policy rspca australia virgin atlantic owner richard branson spoke controversial catching killing shark longer three metre began state government called “unprecedented” number shark attack western australia’s coast saw yearold surfer killed november sixth person die shark attack two year,ele,shark,2.0,0
however according shark attack file australia whole averaged one shark related fatality year last year kate faehrmann board member sea shepherd conservation society said protest perth “we’ve saying along policy won’t work drumlines used catch shark indiscriminate killer they’ll kill shark whether they’re one two three metre well dolphin turtle thing that’s community doesn’t want it”,ele,shark,2.0,0
thousand people protested perth’s cottesloe beach sydney’s manly beach well hundred glenelg south west adelaide beach victoria queensland faehrmann said protest shown australian wanted shark protected “what’s amazing many people australia love shark demonstrated something national psyche despite jaw despite fear people coming thousand across country say that’s ocean respect love don’t want killed” anthony joyce surfer foot caught shark’s mouth said “the number shark going kill going make difference scheme things”,ele,shark,2.0,0
state government refused provide running tally shark killed though report shark smaller three metre released getting caught drumlines floating drum anchored sea bed bait hanging hook beneath conservationist argue evidence cull reduce number shark attack human previous cull solely used drumlines researcher university western australia say recent spate shark attack state may state fastestgrowing population australia rather rising number shark,ele,shark,2.0,0
richard peirce chairman ukbased conservation charity shark trust said cull would ineffective potentially lure predator towards coast “the activity western australia compounding human tragedy shark attack sad government could seen take positive initiative regard shark – human interaction trialling alternative indiscriminate killing ignored best advice opted approach ineffective counterproductive” said “the indiscriminate nature drumlines often overlooked – even monitored day leaving line overnight potential attract predator area attracted shark specie hooked injured”,ele,shark,2.0,0
globally unprovoked attack shark seven proved fatal compared nearly shark killed human year rspca australia released statement saying belief cull unjustified “there evidence increase attack result increasing shark number rather consistent changing population human behaviour greater number people water” said,ele,shark,2.0,0
richard branson told fairfax radio policy backfiring “i’m sure one reason western australia premier colin barnett thinking would encourage tourism it’s going quite reverse think you’re advertising problem doesn’t exist major way you’re deterring people wanting come perth beautiful countryside around you’re going achieve think worry people unnecessarily”,ele,shark,2.0,0
police intelligence agency around world almost year used polygraph liedetector test help catch criminal spy,ele,Lie detector,2.0,0
researcher britain netherlands developed new method correct test time police station around world might begin using new method within ten year doesn’t monitor movement face talking much waving arm – sign someone lying new method monitor movement whole body show person feeling guilty,ele,Lie detector,2.0,0
polygraph often used u criminal case fbi cia much le popular europe many people believe reliable,ele,Lie detector,2.0,0
basic idea behind new method liar fidget allbody motion suit – kind used film create computergenerated character – record,ele,Lie detector,2.0,0
new method reliable – polygraph reliable test success rate new method,ele,Lie detector,2.0,0
ross anderson one research team said “guilty people fidget measure this”,ele,Lie detector,2.0,0
polygraph created policeman john larson record change pulse blood pressure sweating breathing find someone lying,ele,Lie detector,2.0,0
movie polygraph always correct u supreme court decided agreement polygraph reliable u national academy scientist said thing,ele,Lie detector,2.0,0
test anderson colleague involved student employee lancaster university half people told tell truth half lie,ele,Lie detector,2.0,0
researcher interviewed people computer game called never end played seven minute others lied playing,ele,Lie detector,2.0,0
second test involved lost wallet £ inside people bring wallet lostandfound box others hid lied,ele,Lie detector,2.0,0
new bodysuit method correct time researcher monitored much people moved arm leg decide telling truth lying,ele,Lie detector,2.0,0
allbody suit expensive – cost £ – uncomfortable anderson colleague looking cheaper alternative include using motionsensing technology computer game kinect device developed microsoft xbox console,ele,Lie detector,2.0,0
mystery shopping trip every month uk mystery shopper pretend customer store really collecting information store good bad service isthe demand mystery shopper growing online shopping becoming popular,ele,Mystery Shopper,2.0,0
“retailers becoming increasingly aware shopper visit physical store want service experience can’t get online” say simon boydell spokesman marketforce mystery shopper “our client want know well store delivering experience”,ele,Mystery Shopper,2.0,0
“we assign different store location shopper rotate never go back shop within three months” say jill spencer mystery shopping company aba “each day spend eight hour visiting five ten store plus another hour two writing detailed report every part visit” mystery shopper earn £ day expense also paid mystery shopper film visit hidden camera earn even – around £ day,ele,Mystery Shopper,2.0,0
mystery shopper usually repaid money spend store may also allowed keep product buy “they usually give £ £ spend store check service receive till” say mystery shopper laura “i’m always given specific task buying something specific department new product range often buy whatever want – keep it”,ele,Mystery Shopper,2.0,0
like fulltime mystery shopper laura selfemployed earns around £ £ year doesn’t include freebie get job “with perk it’s enough live on” find satisfying return store previously mystery shopper see standard improved “i know must feedback would pay give feel i’m service company i’m service shopper everywhere”,ele,Mystery Shopper,2.0,0
people registered mystery shopper uk le get regular work month led dramatic reduction payment people paid got travel expense “you often receive money towards purchase” say val yearold former mystery shopper nowadays mystery shopping company mostly give freebie incentive “marketforce shopper usually get couple pound visit time effort” say boydell “at we’ll pay £ £ plus expense meal two hotel stay example don’t directly employ shopper don’t pay minimum wage” “i’d go cruise nothing” say laura “but think mystery shopping company pay nominal fee travel restaurant eat meal exploiting people won’t job anymore” plenty people want job,ele,Mystery Shopper,2.0,0
